epoch,train_loss,train_accuracy,gold_validation_loss,gold_validation_accuracy
1,4.515328211205028,0.05794392523364486,4.496872168868335,0.05970149253731343
2,4.004553959302813,0.10560747663551402,4.237124535574842,0.11194029850746269
3,3.650260651223013,0.17570093457943925,3.8859056999434287,0.08955223880597014
4,3.419838248012222,0.18037383177570093,3.580037874961967,0.14925373134328357
5,3.2159106967605164,0.21495327102803738,3.3805737815686125,0.17164179104477612
6,3.0299109775329303,0.2308411214953271,3.1238766535004574,0.20149253731343283
7,2.7759759377096302,0.29813084112149535,2.910287006577449,0.2835820895522388
8,2.6159498312762963,0.3177570093457944,2.837196695270823,0.2537313432835821
9,2.4939031177592055,0.35046728971962615,2.7260056360444027,0.3283582089552239
10,2.364010702115353,0.37570093457943926,2.6031795579995682,0.29850746268656714
11,2.2611661001900645,0.397196261682243,2.5609276935235776,0.3358208955223881
12,2.1564298086077254,0.41869158878504675,2.5684810716714432,0.35074626865671643
13,2.0265125916382978,0.44485981308411215,2.440861321207303,0.3358208955223881
14,1.9214479651406546,0.47102803738317756,2.362704451404401,0.3805970149253731
15,1.8416212280219961,0.4803738317757009,2.3416777119707706,0.3283582089552239
16,1.771642871883428,0.48785046728971965,2.327277421951294,0.40298507462686567
17,1.6959440988914989,0.5317757009345795,2.2987293841233893,0.3805970149253731
18,1.59730116229191,0.5476635514018692,2.2889908214113603,0.41044776119402987
19,1.5369177114183659,0.5710280373831775,2.203240519139304,0.3880597014925373
20,1.467357157101141,0.6102803738317757,2.1925376742633422,0.43283582089552236
21,1.4326640632665046,0.594392523364486,2.186447389090239,0.43283582089552236
22,1.3969957648036635,0.6074766355140186,2.1782676675426424,0.44029850746268656
23,1.319400753039066,0.6327102803738318,2.1722940331074727,0.44029850746268656
24,1.2979291236289194,0.6317757009345795,2.1014996962760812,0.43283582089552236
25,1.1821270035806104,0.6682242990654206,2.1774422837727108,0.44776119402985076
26,1.225462083950221,0.6485981308411215,2.117270167194196,0.4552238805970149
27,1.1074845166963951,0.7018691588785047,2.1083885413497243,0.4253731343283582
28,1.0933783201413734,0.694392523364486,2.073808737655184,0.4626865671641791
29,1.0197337856916624,0.7233644859813084,2.093901267692224,0.4552238805970149
30,0.9543870941500797,0.7411214953271028,2.0563833998210392,0.4626865671641791
31,0.9075551761645023,0.7411214953271028,2.089572426098496,0.48507462686567165
32,0.885705338126031,0.7495327102803738,2.0730083842775713,0.4626865671641791
33,0.8297535477397597,0.7757009345794392,2.035050046977712,0.4701492537313433
34,0.844823876831019,0.7542056074766356,2.12271877900878,0.4626865671641791
35,0.8302245026436922,0.7710280373831776,2.0580641938679256,0.4626865671641791
36,0.7730763205858034,0.7831775700934579,2.0913483313660124,0.47761194029850745
37,0.7520390881556217,0.7906542056074767,2.090639754907409,0.44029850746268656
38,0.7175928956994386,0.8009345794392523,2.0345182454408106,0.4626865671641791
