family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std,clean_selected_acc,noise_selected_acc_mean,noise_selected_acc_std,recovery_mean,recovery_std,best_runs_by_seed
best_ggcl_by_setting,STL,feature_noise/blur_3p0,blur_3p0,22:blur_3p0_beta09_lg0075; 42:blur_3p0_method_beta09_lg015; 62:blur_3p0_method_beta09_lg015,22:blur_3p0_beta09_lg0075; 42:blur_3p0_method_beta09_lg015; 62:blur_3p0_method_beta09_lg015,,,3,0.6397435897,0.01194992841,0.6407692308,0.0116151299,0.6244871795,0.03816100533,4.333333333,2.081665999,0.6930769231,0.2552564103,0.02942831359,0.8780634247,0.02668520519,22:blur_3p0_beta09_lg0075; 42:blur_3p0_method_beta09_lg015; 62:blur_3p0_method_beta09_lg015
best_ggcl_by_setting,STL,feature_noise/brightness_0p75,brightness_0p75,22:brightness_0p75_beta02_lg01; 42:brightness_0p75_method_beta09_lg01; 62:brightness_0p75_beta09_lg0075,22:brightness_0p75_beta02_lg01; 42:brightness_0p75_method_beta09_lg01; 62:brightness_0p75_beta09_lg0075,,,3,0.7367948718,0.00931320032,0.7423076923,0.008104349041,0.7293589744,0.01312397268,12.33333333,3.511884584,0.6930769231,0.6720512821,0.01886707368,6.305982906,6.071299512,22:brightness_0p75_beta02_lg01; 42:brightness_0p75_method_beta09_lg01; 62:brightness_0p75_beta09_lg0075
best_ggcl_by_setting,STL,feature_noise/gaussian_30p0,gaussian_30p0,22:gaussian_30p0_beta05_lg02; 42:gaussian_30p0_method_beta05_lg015; 62:gaussian_30p0_method_beta05_lg015,22:gaussian_30p0_beta05_lg02; 42:gaussian_30p0_method_beta05_lg015; 62:gaussian_30p0_method_beta05_lg015,,,3,0.6842307692,0.02491702206,0.6925641026,0.01835438992,0.6701282051,0.007157705052,10.66666667,4.509249753,0.6930769231,0.4393589744,0.04941721506,0.9751151521,0.08892475169,22:gaussian_30p0_beta05_lg02; 42:gaussian_30p0_method_beta05_lg015; 62:gaussian_30p0_method_beta05_lg015
best_ggcl_by_setting,STL,label_noise/label_shuffle_0p2,label_shuffle_0p2,22:label_shuffle_0p2_beta05_lg03; 42:label_shuffle_0p2_method_beta05_lg025; 62:label_shuffle_0p2_method_beta05_lg025,22:label_shuffle_0p2_beta05_lg03; 42:label_shuffle_0p2_method_beta05_lg025; 62:label_shuffle_0p2_method_beta05_lg025,,,3,0.718974359,0.001734326828,0.7203846154,0.004070386632,0.6980769231,0.01239750882,10.33333333,2.516611478,0.6930769231,0.6206410256,0.007637626158,1.361039071,0.05286199768,22:label_shuffle_0p2_beta05_lg03; 42:label_shuffle_0p2_method_beta05_lg025; 62:label_shuffle_0p2_method_beta05_lg025
best_ggcl_by_setting,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,22:blur_3p0_label_shuffle_0p2_beta09_lg025; 42:blur_3p0_label_shuffle_0p2_beta09_lg025; 62:blur_3p0_label_shuffle_0p2_compromise_beta09_lg02,22:blur_3p0_label_shuffle_0p2_beta09_lg025; 42:blur_3p0_label_shuffle_0p2_beta09_lg025; 62:blur_3p0_label_shuffle_0p2_compromise_beta09_lg02,,,3,0.6388461538,0.01246889621,0.6423076923,0.007185208343,0.6241025641,0.01792626801,3,1.732050808,0.6930769231,0.2547435897,0.01824120658,0.8753349515,0.034096625,22:blur_3p0_label_shuffle_0p2_beta09_lg025; 42:blur_3p0_label_shuffle_0p2_beta09_lg025; 62:blur_3p0_label_shuffle_0p2_compromise_beta09_lg02
best_ggcl_by_setting,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,22:brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01; 42:brightness_0p75_label_shuffle_0p2_beta085_lg01; 62:brightness_0p75_label_shuffle_0p2_compromise_beta09_lg015,22:brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01; 42:brightness_0p75_label_shuffle_0p2_beta085_lg01; 62:brightness_0p75_label_shuffle_0p2_compromise_beta09_lg015,,,3,0.7170512821,0.003573682017,0.7188461538,0.003668996929,0.7021794872,0.01416478117,11.66666667,2.309401077,0.6930769231,0.6003846154,0.02167197629,1.265565571,0.05208812562,22:brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01; 42:brightness_0p75_label_shuffle_0p2_beta085_lg01; 62:brightness_0p75_label_shuffle_0p2_compromise_beta09_lg015
best_ggcl_by_setting,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,22:gaussian_30p0_label_shuffle_0p2_beta07_lg015; 42:gaussian_30p0_label_shuffle_0p2_beta06_lg015; 62:gaussian_30p0_label_shuffle_0p2_beta07_lg015,22:gaussian_30p0_label_shuffle_0p2_beta07_lg015; 42:gaussian_30p0_label_shuffle_0p2_beta06_lg015; 62:gaussian_30p0_label_shuffle_0p2_beta07_lg015,,,3,0.6730769231,0.01752850595,0.6782051282,0.01297091269,0.6547435897,0.0200012327,12,1.732050808,0.6930769231,0.4443589744,0.05798685493,0.9291835839,0.06185133068,22:gaussian_30p0_label_shuffle_0p2_beta07_lg015; 42:gaussian_30p0_label_shuffle_0p2_beta06_lg015; 62:gaussian_30p0_label_shuffle_0p2_beta07_lg015
best_ggcl_by_setting,Flower_102,feature_noise/blur_3p0,blur_3p0,22:blur_3p0_beta08_lg02; 42:blur_3p0_method_beta08_lg01; 62:blur_3p0_beta05_lg01,22:blur_3p0_beta08_lg02; 42:blur_3p0_method_beta08_lg01; 62:blur_3p0_beta05_lg01,,,3,0.6049684382,0.04067396529,0.6175931582,0.03445348479,0.6153532885,0.03247028999,13,3.605551275,0.559560171,0.4103034005,0.02233102827,1.283316944,0.2443508328,22:blur_3p0_beta08_lg02; 42:blur_3p0_method_beta08_lg01; 62:blur_3p0_beta05_lg01
best_ggcl_by_setting,Flower_102,feature_noise/brightness_0p75,brightness_0p75,22:brightness_0p75_beta09_lg01; 42:brightness_0p75_method_beta08_lg01; 62:brightness_0p75_beta08_lg015,22:brightness_0p75_beta09_lg01; 42:brightness_0p75_method_beta08_lg01; 62:brightness_0p75_beta08_lg015,,,3,0.6381592344,0.006269519169,0.6416208512,0.008817200201,0.6328649969,0.02101085342,14.33333333,3.055050463,0.559560171,0.4386072083,0.01070336925,1.652076922,0.06007918881,22:brightness_0p75_beta09_lg01; 42:brightness_0p75_method_beta08_lg01; 62:brightness_0p75_beta08_lg015
best_ggcl_by_setting,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,22:gaussian_30p0_beta02_lg01; 42:gaussian_30p0_method_beta05_lg015; 62:gaussian_30p0_beta08_lg01,22:gaussian_30p0_beta02_lg01; 42:gaussian_30p0_method_beta05_lg015; 62:gaussian_30p0_beta08_lg01,,,3,0.627774384,0.004333902801,0.6355121157,0.01030066371,0.6342903686,0.009665195916,11.66666667,0.5773502692,0.559560171,0.5045815516,0.01702792897,2.310022153,0.3575114969,22:gaussian_30p0_beta02_lg01; 42:gaussian_30p0_method_beta05_lg015; 62:gaussian_30p0_beta08_lg01
best_ggcl_by_setting,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,22:label_shuffle_0p2_beta10_lg01; 42:label_shuffle_0p2_method_beta095_lg01; 62:label_shuffle_0p2_beta08_lg01,22:label_shuffle_0p2_beta10_lg01; 42:label_shuffle_0p2_method_beta095_lg01; 62:label_shuffle_0p2_beta08_lg01,,,3,0.5880676033,0.01389429616,0.5960089595,0.01051578199,0.5762573814,0.01039083757,14.33333333,0.5773502692,0.559560171,0.4728161271,0.0139968714,1.344688152,0.2133131487,22:label_shuffle_0p2_beta10_lg01; 42:label_shuffle_0p2_method_beta095_lg01; 62:label_shuffle_0p2_beta08_lg01
best_ggcl_by_setting,Flower_102,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,22:blur_3p0_label_shuffle_0p2_beta08_lg005; 42:blur_3p0_label_shuffle_0p2_beta07_lg01; 62:blur_3p0_label_shuffle_0p2_beta08_lg015,22:blur_3p0_label_shuffle_0p2_beta08_lg005; 42:blur_3p0_label_shuffle_0p2_beta07_lg01; 62:blur_3p0_label_shuffle_0p2_beta08_lg015,,,3,0.5477499491,0.02753903961,0.5546731827,0.01649358583,0.5296273671,0.02261882539,13.33333333,2.081665999,0.559560171,0.3807778457,0.01287673529,0.9286046262,0.15718214,22:blur_3p0_label_shuffle_0p2_beta08_lg005; 42:blur_3p0_label_shuffle_0p2_beta07_lg01; 62:blur_3p0_label_shuffle_0p2_beta08_lg015
best_ggcl_by_setting,Flower_102,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,22:brightness_0p75_label_shuffle_0p2_beta08_lg015; 42:brightness_0p75_label_shuffle_0p2_feature_best_beta08_lg01; 62:brightness_0p75_label_shuffle_0p2_compromise_beta09_lg01,22:brightness_0p75_label_shuffle_0p2_beta08_lg015; 42:brightness_0p75_label_shuffle_0p2_feature_best_beta08_lg01; 62:brightness_0p75_label_shuffle_0p2_compromise_beta09_lg01,,,3,0.5697413969,0.01169201973,0.5697413969,0.01169201973,0.552840562,0.01436527308,12.33333333,1.527525232,0.559560171,0.348197923,0.01802853337,1.045367487,0.05032800151,22:brightness_0p75_label_shuffle_0p2_beta08_lg015; 42:brightness_0p75_label_shuffle_0p2_feature_best_beta08_lg01; 62:brightness_0p75_label_shuffle_0p2_compromise_beta09_lg01
best_ggcl_by_setting,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,22:gaussian_30p0_label_shuffle_0p2_beta055_lg015; 42:gaussian_30p0_label_shuffle_0p2_beta05_lg01; 62:gaussian_30p0_label_shuffle_0p2_beta08_lg015,22:gaussian_30p0_label_shuffle_0p2_beta055_lg015; 42:gaussian_30p0_label_shuffle_0p2_beta05_lg01; 62:gaussian_30p0_label_shuffle_0p2_beta08_lg015,,,3,0.5677051517,0.01865249475,0.5734066382,0.01374578606,0.5640399104,0.009742108502,13.33333333,2.081665999,0.559560171,0.4418652006,0.004744931866,1.065059131,0.1572891791,22:gaussian_30p0_label_shuffle_0p2_beta055_lg015; 42:gaussian_30p0_label_shuffle_0p2_beta05_lg01; 62:gaussian_30p0_label_shuffle_0p2_beta08_lg015
