label,total,correct,accuracy
0,8,5,0.625
1,12,9,0.75
2,8,1,0.125
3,11,4,0.36363636363636365
4,13,5,0.38461538461538464
5,9,6,0.6666666666666666
6,8,5,0.625
7,17,14,0.8235294117647058
8,9,5,0.5555555555555556
9,9,8,0.8888888888888888
10,17,1,0.058823529411764705
11,17,11,0.6470588235294118
12,10,4,0.4
13,10,8,0.8
14,10,8,0.8
15,8,4,0.5
16,17,15,0.8823529411764706
17,16,7,0.4375
18,10,2,0.2
19,11,2,0.18181818181818182
20,8,7,0.875
21,12,6,0.5
22,18,7,0.3888888888888889
23,9,7,0.7777777777777778
24,8,3,0.375
25,8,5,0.625
26,8,4,0.5
27,13,7,0.5384615384615384
28,16,10,0.625
29,17,8,0.47058823529411764
30,11,2,0.18181818181818182
31,9,1,0.1111111111111111
32,9,3,0.3333333333333333
33,8,2,0.25
34,9,8,0.8888888888888888
35,15,9,0.6
36,22,18,0.8181818181818182
37,11,4,0.36363636363636365
38,8,1,0.125
39,13,6,0.46153846153846156
40,25,18,0.72
41,12,6,0.5
42,26,8,0.3076923076923077
43,19,9,0.47368421052631576
44,8,4,0.5
45,39,29,0.7435897435897436
46,13,13,1.0
47,14,8,0.5714285714285714
48,10,9,0.9
49,18,10,0.5555555555555556
50,52,30,0.5769230769230769
51,17,14,0.8235294117647058
52,19,4,0.21052631578947367
53,12,7,0.5833333333333334
54,14,9,0.6428571428571429
55,22,18,0.8181818181818182
56,13,10,0.7692307692307693
57,23,22,0.9565217391304348
58,13,13,1.0
59,22,21,0.9545454545454546
60,10,10,1.0
61,11,2,0.18181818181818182
62,11,10,0.9090909090909091
63,11,11,1.0
64,20,16,0.8
65,12,11,0.9166666666666666
66,9,1,0.1111111111111111
67,11,9,0.8181818181818182
68,11,7,0.6363636363636364
69,12,9,0.75
70,16,13,0.8125
71,19,1,0.05263157894736842
72,39,30,0.7692307692307693
73,34,21,0.6176470588235294
74,24,19,0.7916666666666666
75,21,7,0.3333333333333333
76,50,44,0.88
77,27,21,0.7777777777777778
78,8,4,0.5
79,21,7,0.3333333333333333
80,33,26,0.7878787878787878
81,22,6,0.2727272727272727
82,26,6,0.23076923076923078
83,17,1,0.058823529411764705
84,13,3,0.23076923076923078
85,12,6,0.5
86,13,10,0.7692307692307693
87,31,20,0.6451612903225806
88,37,25,0.6756756756756757
89,16,5,0.3125
90,15,10,0.6666666666666666
91,13,8,0.6153846153846154
92,9,1,0.1111111111111111
93,32,20,0.625
94,26,8,0.3076923076923077
95,18,9,0.5
96,13,4,0.3076923076923077
97,16,7,0.4375
98,13,5,0.38461538461538464
99,10,5,0.5
100,12,5,0.4166666666666667
101,10,4,0.4
